year	month	m1_12	m24_36	m48_60	m61_120
1968	4	0.00307	0.00164	0.00064	0.00093
1968	5	0.00374	0.00456	0.00265	0.00413
1968	6	0.00595	0.00857	0.01519	0.01147
1968	7	0.00641	0.01319	0.01983	0.01901
1968	8	0.00415	0.00553	0.00152	0.00573
1968	9	0.00435	0.00304	0.00474	0.00288
1968	10	0.00314	0.00211	0.00091	-0.00088
1968	11	0.00325	0.00244	-0.00084	-0.00088
1968	12	0.00177	-0.01277	-0.01695	-0.0204
1969	1	0.00622	0.00825	0.00455	0.00777
1969	2	0.00447	-0.00343	-0.00623	-1e-05
1969	3	0.0055	0.01152	0.00234	0.00786
1969	4	0.00577	0.00603	0.01212	0.0043
1969	5	0.00194	-0.00593	-0.00616	-0.00852
1969	6	-5e-05	-0.00751	-0.00967	-0.00622
1969	7	0.00669	0.00212	-0.00586	0.00862
1969	8	0.00519	0.00501	-0.0015	-0.00433
1969	9	0.0043	-0.00896	-0.01843	-0.03328
1969	10	0.00848	0.02122	0.03327	0.04156
1969	11	0.00283	-0.00135	-0.00529	-0.00598
1969	12	0.00549	-0.00843	-0.01699	-0.01763
1970	1	0.00839	0.00997	0.00205	-0.00583
1970	2	0.01288	0.02847	0.04449	0.04517
1970	3	0.00688	0.01098	0.00798	0.00775
1970	4	0.00288	-0.0103	-0.02019	-0.02928
1970	5	0.00615	0.00517	0.01075	0.01412
1970	6	0.00811	0.01078	0.0087	0.00672
1970	7	0.00865	0.01286	0.01369	0.01503
1970	8	0.00654	0.00953	0.01141	0.01139
1970	9	0.00713	0.01548	0.01811	0.01717
1970	10	0.0069	0.00995	0.01025	0.01235
1970	11	0.01251	0.03298	0.04658	0.04807
1970	12	0.00541	0.00307	0.00479	0.00991
1971	1	0.00618	0.01926	0.014	0.01293
1971	2	0.00716	0.01397	0.02015	0.01999
1971	3	0.00265	0.01071	0.01883	0.02408
1971	4	-0.00091	-0.0208	-0.03265	-0.03553
1971	5	0.00218	-0.00015	0.00085	-0.00468
1971	6	0.00012	-0.01279	-0.02125	-0.02146
1971	7	0.00366	0.00641	0.00376	0.00325
1971	8	0.00995	0.03088	0.04114	0.04683
1971	9	0.00442	0.00602	0.00447	0.01307
1971	10	0.00667	0.01551	0.0184	0.01651
1971	11	0.00363	0.00308	0.00546	0.00235
1971	12	0.00582	0.0106	0.0161	0.01459
1972	1	0.0048	0.00284	-0.00686	-0.00486
1972	2	0.00388	0.00627	0.00725	0.00744
1972	3	-0.00014	-0.00882	-0.01133	-0.00527
1972	4	0.0049	0.01176	0.0141	0.01119
1972	5	0.00413	0.00905	0.00926	0.00897
1972	6	0.00137	-0.00384	-0.00415	-0.00183
1972	7	0.00587	0.00805	0.00592	0.00513
1972	8	4e-04	-0.00178	-0.00365	-0.00455
1972	9	0.00347	0.00328	0.00606	0.00391
1972	10	0.0053	0.00522	0.0043	0.00806
1972	11	0.00495	0.00773	0.00908	0.01156
1972	12	0.00253	-0.00033	0.0011	-0.00085
1973	1	0.00337	-0.00085	-0.00696	-5e-05
