f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
9283.8575,0,39474.1575,2,3,1,2,3,0,0,0,0
8274.9775,0,19623.4388,8,2,4,2,6,0,0,0,0
3991.6167,0,43990.5707,8,2,4,2,6,0,0,0,0
9293.84,0,40130.725,8,2,5,5,9,0,0,2,1
5660.4133,2156.31,28153.0083,10,5,3,2,12,0,0,0,0
7850.2347,4030,55380.3687,7,2,3,4,10,0,0,2,0
16531.593,4569.9,59328.29,10,5,4,4,12,0,0,2,0
7699.9551,85,21381.8343,11,5,3,2,12,0,0,0,0
6967.5215,2505.85,46238.8405,11,5,2,2,6,0,2,0,0
3774.9929,475,26521.2169,10,5,2,1,11,0,0,0,0
7335.5957,0,33830.4447,8,2,4,2,9,0,0,0,0
4414.471,0,14657.6289,6,2,5,1,9,0,0,0,0
5300.7826,3873.7,29068.9356,12,1,5,3,13,0,0,0,1
5700.8073,20,27211.5703,8,2,4,1,9,0,0,0,0
10214.6664,0,24900.0215,10,5,3,3,10,0,0,0,1
1858.987,1038.18,27372.8587,1,3,2,1,12,0,0,0,0
7331.7653,1649.65,51168.7613,11,5,4,5,11,0,0,1,2
6392.1626,1582.24,48686.3014,7,2,3,2,9,0,1,0,0
9629.9589,1577.5,40551.8199,8,2,1,2,11,1,1,0,0
6705.8014,667.8,61868.5914,10,5,1,3,6,0,1,0,1
9689.8134,0,32424.6804,4,4,3,2,11,1,0,0,0
5404.6526,739,32841.9076,7,2,4,2,12,2,0,0,0
6721.5836,547.63,27514.0244,10,5,4,2,12,0,0,0,0
10126.6887,285.8,30411.8517,10,5,4,2,5,2,0,0,0
4933.3056,616.25,30351.3119,3,3,3,2,10,0,0,0,0
13747.6126,676.95,48260.3116,7,2,3,3,12,0,1,1,0
5638.0801,0,28346.4891,8,2,2,2,3,0,0,0,0
1852.4921,1700,26939.8581,6,2,4,1,10,0,0,0,0
8404.7077,0,18116.8149,5,4,4,4,5,0,0,0,2
6381.1885,0,29450.6555,6,2,4,3,7,0,1,1,0
3578.3555,0,23491.2824,10,5,4,2,3,0,0,0,0
5829.4513,0,10912.5856,10,5,4,2,10,0,0,0,0
8657.8575,1800.96,35324.9125,10,5,4,2,10,1,1,0,0
9035.8189,1485.75,23963.1345,5,4,4,2,9,1,0,0,0
7658.0385,535,29323.9991,5,4,2,2,3,0,0,0,0
9271.2431,2665.31,30741.5371,13,4,4,2,4,1,1,0,0
4754.2093,1712.5,28453.2447,11,5,4,2,9,0,0,0,0
9032.4102,0,27906.4428,7,2,4,4,12,0,1,1,2
6226.5137,15113.08,54785.6117,7,2,4,2,11,0,0,0,2
9335.1113,2774.5,65472.1833,7,2,2,2,11,2,0,0,2
10083.6197,425,34305.9757,8,2,4,2,6,1,1,0,2
3925.3696,225,19024.194,8,6,4,2,7,0,0,0,2
6568.2229,2488.41,120293.1889,9,5,1,2,9,0,0,0,2
11449.9621,112.85,44583.9454,8,2,2,2,9,0,2,0,2
5197.7287,271,45437.4917,10,5,2,2,10,1,0,0,2
6762.0789,800.15,38798.1815,10,5,4,3,5,0,0,1,2
8744.5586,1595,41193.2576,10,5,4,4,6,0,0,2,2
7643.8563,500,55556.7663,10,5,1,2,7,2,0,0,2
5685.8945,2899.59,50514.6525,5,4,1,2,10,2,0,0,2
10258.8556,0,50845.2126,5,4,2,2,9,1,1,0,2
9793.6349,1540.56,54067.9899,5,4,1,2,6,0,0,0,2
8484.0996,0,21192.8581,2,3,2,2,9,1,0,0,2
9635.4666,16.36,39466.1096,7,6,3,3,7,0,2,0,2
5709.7476,1551,17771.2444,8,2,4,1,11,0,1,0,1
10079.2261,55.35,47824.3841,10,5,3,4,6,0,1,1,2
8114.073,0,27468.823,10,5,4,2,5,0,0,0,2
